238.5	108.4	6' 1"	186
158.8	72.2	6' 0"	183
189	85.9	6' 1"	185
217.6	98.9	5' 10"	178
204.8	93.1	5' 8"	173
167.6	76.2	5' 10"	179
200.2	91	5' 10"	177
185.5	84.3	5' 9"	176
235.8	107.2	6' 1"	186
202.4	92	5' 6"	168
228.6	103.9	5' 10"	177
208.1	94.6	5' 10"	178
176.7	80.3	5' 7"	170
242	110	5' 9"	175
203.3	92.4	5' 9"	174
145.6	66.2	5' 6"	167
231	105	5' 5"	166
207.7	94.4	5' 7"	169
222	100.9	6' 2"	187
138.2	62.8	6' 1"	186
227.7	103.5	5' 7"	169
164.8	74.9	5' 5"	165
161.5	73.4	6' 0"	182
132.9	60.4	5' 7"	169
221.8	100.8	5' 4"	163
242.4	110.2	5' 6"	167
227.3	103.3	5' 6"	168
242.9	110.4	5' 7"	169
216.9	98.6	6' 1"	185
216.9	98.6	6' 2"	188
213.4	97	5' 4"	162
155.1	70.5	5' 9"	175
237.8	108.1	5' 10"	178
178.4	81.1	5' 7"	170
163.2	74.2	5' 9"	174
211.4	96.1	5' 10"	179
179.7	81.7	5' 8"	173
216.9	98.6	6' 0"	183
211.2	96	6' 2"	188
147	66.8	5' 8"	172
119.2	54.2	5' 5"	166
197.1	89.6	5' 4"	163
182.2	82.8	6' 2"	189
233.4	106.1	5' 6"	168
139.7	63.5	6' 1"	186
137.7	62.6	5' 7"	170
189.9	86.3	6' 0"	182
158.2	71.9	5' 8"	173
183.3	83.3	6' 0"	182
159.1	72.3	5' 10"	178
203.7	92.6	5' 10"	179
215.4	97.9	6' 0"	184
149.6	68	5' 8"	173
170.3	77.4	5' 7"	171
166.5	75.7	6' 0"	183
150.3	68.3	5' 10"	178
198.9	90.4	5' 8"	173
169.4	77	6' 0"	182
234.7	106.7	5' 11"	181
188.8	85.8	6' 2"	188
134.4	61.1	5' 5"	164
212.5	96.6	5' 9"	174
194.5	88.4	6' 0"	183
234.5	106.6	5' 10"	177
196.9	89.5	5' 5"	166
191.6	87.1	6' 0"	183
183	83.2	5' 9"	174
241.6	109.8	5' 9"	176
233.9	106.3	5' 5"	165
213.6	97.1	5' 7"	171
201.3	91.5	5' 7"	171
150.9	68.6	5' 11"	180
200	90.9	5' 9"	174
214.5	97.5	6' 1"	186
203.1	92.3	5' 7"	170
230.6	104.8	5' 8"	172
212.3	96.5	5' 5"	165
169.4	77	5' 7"	171
140.6	63.9	5' 7"	170
201.5	91.6	6' 0"	182
205.9	93.6	5' 10"	177
240.2	109.2	6' 0"	184
155.8	70.8	5' 10"	178
190.1	86.4	5' 9"	175
208.6	94.8	5' 7"	169
176.9	80.4	5' 10"	179
150.5	68.4	5' 4"	162
222.9	101.3	6' 2"	189
155.8	70.8	6' 0"	182
227.5	103.4	5' 9"	174
176.9	80.4	5' 9"	174
227.7	103.5	6' 0"	183
176.2	80.1	5' 7"	169
178.9	81.3	5' 6"	167
175.1	79.6	6' 2"	187
204.8	93.1	5' 9"	175
147.2	66.9	5' 9"	175
150	68.2	6' 0"	182
231.4	105.2	5' 5"	164
214.1	97.3	5' 6"	167
188.5	85.7	5' 7"	171
225.7	102.6	5' 9"	175
203.5	92.5	6' 0"	183
199.8	90.8	5' 7"	170
200.2	91	5' 5"	166
230.1	104.6	5' 8"	173
160.8	73.1	5' 9"	175
165.4	75.2	5' 9"	175
167.9	76.3	5' 4"	163
192.7	87.6	5' 6"	167
175.3	79.7	5' 10"	178
181.1	82.3	5' 7"	171
193.2	87.8	5' 9"	175
222.6	101.2	5' 10"	179
239.8	109	6' 2"	188
185.9	84.5	6' 2"	188
149.8	68.1	5' 10"	179
234.1	106.4	5' 9"	176
186.6	84.8	5' 11"	180
171.8	78.1	6' 2"	188
137.9	62.7	6' 0"	183
162.6	73.9	6' 0"	184
164.8	74.9	5' 11"	180
212.7	96.7	6' 0"	183
224.2	101.9	5' 11"	181
158.2	71.9	5' 5"	164
145.2	66	5' 9"	176
155.3	70.6	5' 7"	171
177.1	80.5	6' 3"	190
182.2	82.8	6' 0"	184
223.7	101.7	5' 8"	173
203.3	92.4	5' 9"	175
240.9	109.5	5' 6"	167
151.6	68.9	6' 0"	184
158	71.8	6' 0"	182
229.9	104.5	5' 7"	169
233	105.9	5' 8"	173
154.9	70.4	6' 2"	188
150.9	68.6	5' 6"	168
174.5	79.3	5' 5"	164
200	90.9	5' 7"	171
216.9	98.6	5' 9"	175
210.3	95.6	6' 1"	186
232.8	105.8	5' 9"	174
177.1	80.5	5' 9"	175
139.5	63.4	6' 1"	185
200.4	91.1	6' 0"	183
137.7	62.6	6' 2"	189
202.6	92.1	5' 8"	172
220	100	5' 7"	170
216.5	98.4	6' 0"	182
185.7	84.4	5' 9"	174
230.6	104.8	6' 0"	184
188.5	85.7	5' 7"	169
138.8	63.1	5' 10"	177
223.3	101.5	5' 8"	172
190.3	86.5	5' 7"	170
203.9	92.7	6' 1"	186
165.9	75.4	6' 2"	187
149.4	67.9	5' 10"	179
175.3	79.7	6' 0"	182
208.6	94.8	5' 4"	163
140.8	64	6' 0"	182
187.7	85.3	6' 1"	186
247.3	112.4	5' 8"	172
244.6	111.2	6' 3"	190
146.7	66.7	6' 1"	185
204.6	93	5' 8"	173
229.2	104.2	5' 11"	180
171.2	77.8	6' 2"	187
154.9	70.4	5' 7"	169
213	96.8	6' 0"	182
160.2	72.8	5' 5"	166
149.6	68	5' 9"	176
178.4	81.1	5' 9"	176
242.4	110.2	5' 7"	169
222.6	101.2	5' 10"	177
152.9	69.5	6' 1"	185
150.3	68.3	5' 8"	173
231.4	105.2	5' 10"	177
220	100	5' 8"	173
178	80.9	5' 11"	181
215.4	97.9	5' 7"	169
229.5	104.3	5' 8"	172
203.1	92.3	5' 9"	176
157.7	71.7	5' 7"	169
220.7	100.3	6' 0"	184
160.2	72.8	5' 8"	173
228.6	103.9	6' 0"	182
208.8	94.9	5' 9"	176
146.7	66.7	5' 9"	174
156.6	71.2	6' 0"	183
197.8	89.9	5' 6"	167
192.3	87.4	5' 7"	170
152.2	69.2	5' 9"	176
204.8	93.1	5' 6"	167
199.5	90.7	5' 6"	167
128.5	58.4	6' 2"	187
191.2	86.9	5' 9"	174
212.1	96.4	6' 0"	182
136.2	61.9	6' 0"	184
246.2	111.9	5' 8"	172
211.9	96.3	5' 6"	167
180.8	82.2	5' 6"	167
196.9	89.5	5' 6"	168
248.8	113.1	5' 7"	170
150.3	68.3	5' 10"	179
214.5	97.5	5' 7"	171
240	109.1	6' 2"	189
126.5	57.5	6' 2"	187
226.6	103	5' 10"	178
205.5	93.4	5' 5"	165
190.3	86.5	6' 0"	182
228.1	103.7	5' 8"	172
156.9	71.3	6' 0"	184
205.3	93.3	6' 2"	188
178.9	81.3	6' 2"	189
233	105.9	5' 5"	165
185	84.1	5' 7"	171
151.6	68.9	5' 6"	167
163.5	74.3	5' 11"	181
178.2	81	6' 0"	182
216.7	98.5	5' 7"	171
227.3	103.3	6' 0"	183
146.5	66.6	5' 9"	175
219.8	99.9	5' 9"	174
253.9	115.4	6' 1"	185
224.6	102.1	5' 10"	177
193.4	87.9	6' 1"	186
149.6	68	5' 8"	172
186.8	84.9	6' 0"	184
239.1	108.7	6' 1"	185
157.1	71.4	5' 10"	179
167.4	76.1	5' 7"	169
147.8	67.2	5' 7"	170
194.5	88.4	5' 8"	173
144.1	65.5	5' 9"	176
227.5	103.4	5' 7"	169
229.5	104.3	5' 7"	169
148.7	67.6	5' 11"	181
143.2	65.1	5' 9"	175
223.7	101.7	5' 8"	173
159.3	72.4	5' 10"	178
182.2	82.8	6' 0"	184
191.6	87.1	5' 7"	171
192.5	87.5	5' 8"	173
224.6	102.1	5' 5"	164
180.6	82.1	5' 10"	179
174.7	79.4	6' 0"	182
152.5	69.3	6' 0"	182
168.1	76.4	6' 0"	182
139.9	63.6	5' 5"	164
245.1	111.4	5' 9"	176
239.4	108.8	6' 0"	182
149.8	68.1	5' 5"	164
146.7	66.7	5' 8"	172
166.1	75.5	5' 11"	180
245.5	111.6	5' 10"	178
174.5	79.3	5' 7"	169
158.6	72.1	5' 7"	170
207	94.1	5' 7"	169
161	73.2	5' 10"	179
140.1	63.7	5' 5"	164
143.2	65.1	5' 6"	168
145.9	66.3	5' 10"	178
205.5	93.4	6' 0"	183
207.2	94.2	6' 1"	186
199.3	90.6	6' 1"	186
143	65	5' 5"	165
187	85	5' 9"	175
238.7	108.5	6' 2"	189
222.2	101	6' 0"	183
152.7	69.4	6' 0"	182
152.9	69.5	5' 7"	169
189.6	86.2	5' 11"	181
160.6	73	5' 5"	166
207.9	94.5	5' 9"	176
200.2	91	5' 7"	169
244.2	111	5' 7"	169
146.1	66.4	6' 1"	186
145.2	66	5' 10"	179
172.3	78.3	5' 7"	170
221.5	100.7	6' 0"	183
137.7	62.6	5' 10"	177
224.2	101.9	5' 11"	180
160.2	72.8	5' 8"	173
223.5	101.6	5' 11"	180
215.4	97.9	5' 7"	171
186.6	84.8	5' 7"	169
172.7	78.5	6' 3"	190
198.2	90.1	6' 0"	182
154.2	70.1	5' 7"	171
192.7	87.6	6' 0"	182
191.6	87.1	5' 5"	166
192.5	87.5	6' 1"	185
148.7	67.6	5' 8"	172
174.5	79.3	6' 2"	189
194.9	88.6	5' 6"	168
239.1	108.7	5' 9"	176
190.1	86.4	5' 9"	176
163.7	74.4	5' 9"	175
182.2	82.8	5' 4"	163
196.7	89.4	5' 5"	166
172	78.2	5' 9"	175
210.5	95.7	5' 10"	178
144.8	65.8	5' 9"	176
187	85	5' 10"	177
131.1	59.6	6' 0"	183
247.1	112.3	6' 0"	184
159.7	72.6	5' 10"	179
182.6	83	6' 2"	189
239.8	109	6' 2"	188
157.7	71.7	5' 9"	175
180.8	82.2	5' 7"	171
153.3	69.7	5' 11"	180
195.8	89	5' 8"	172
237.8	108.1	5' 8"	172
222.2	101	5' 6"	168
225.7	102.6	6' 0"	184
245.7	111.7	5' 11"	181
